title,subtitle,author,synopsis,title_type,mission
Stoicism 101,"How to apply the ancient wisdom of seneca, epictetus and marcus aurelius to your modern life",,I love Stoicism. In this class we take a quick look at the cast of characters (from founder Zeno to Seneca + Epictetus + Marcus Aurelius) and then dive into the ultimate goal of Stoicism (hint: become bff’s with your inner daimon so you can experience a state of well-being and flourishing) along with the practices that help us apply this wisdom to our lives. We’ll create energized tranquility and equanimity as we have fun becoming our own ideal sages.,101 Classes,Ancient Wisdom
The Nicomachean Ethics,,Aristotle,"Aristotle's writings have been extraordinarily influential since ancient times. This treatise is named after his son and is a collection of his lecture notes--imagining attending his Lyceum and listening to him teach 2,300 years ago! Of course, it's packed with culture-changing Big Ideas. Some of my favorites we cover include the ultimate end: eudaimonic happiness (vs. ""happiness"" as most of us think about it!), how to achieve that eudaimonia (hint: ""virtuous activity of the soul"" aka areté), how to win the Olympic Games (hint: you can't just show up; you need to ACT!), the doctrine of the mean (and the vice of deficiency + excess) and the virtue of magnanimity: meet YOUR great soul.",PhilosophersNotes,Ancient Wisdom
Meditations,,Marcus Aurelius,"Marcus Aurelius was the Emperor-Philosopher of the Roman Empire and one of the most enlightened leaders ever. Meditations is a collection of journal entries he wrote to himself and in this Note, we'll explore some Big Ideas of his Stoic philosophy—from the importance of never confusing ourselves with visions of a lifetime all at once, to not worrying about what others think of us and living a life of purpose and service.",PhilosophersNotes,Ancient Wisdom
Discourses,,Epictetus,"Epictetus is known as one of the world’s leading Stoic philosophers. (Along with Seneca and Marcus Aurelius, the three make up a very interesting bunch.) Epictetus was a former slave turned philosopher who lived from 55-135 (a little later than Seneca and before Aurelius). This book is a transcription of the informal lectures Epictetus gave to his students. It’s awesome. Big Ideas we explore: why Hercules needed challenges (and so do you), what figs can teach us about greatness, the good + the bad + the indifferent and how to tell the difference, “impressions” and the tricks they play, and the fact NOW is the time to live this stuff.",PhilosophersNotes,Ancient Wisdom
On the Shortness of Life,Life Is Long If You Know How to Use It,Seneca,"Seneca was an old-school Roman statesman and one of history’s leading Stoic philosophers. In this book he tells us that life is only short if you don’t know how to use it and also gives us some tips on how to deal with challenging times and cultivate tranquility. Big Ideas we explore include making T.O.D.A.Y. the day, how to deal with being exiled (never know when it could happen ;), and why flexibility is the virtuous road to tranquility (and how to avoid the detours).",PhilosophersNotes,Ancient Wisdom
The Bhagavad Gita,A Classic of Indian Spirituality,Krishna & Eknath Easwaran,"The classic text of Hinduism is *packed* with wisdom. In the Note, we take a super quick look at the context for the book and then jump into some powerful wisdom—including the importance of meditation, the fact that making mistakes is an inherent part of our growth process and the uber-importance of letting go of our attachment to results.",PhilosophersNotes,Ancient Wisdom
The Dhammapada,The Sayings of Buddha,Eknath Easwaran,"A core text of Buddhism, The Dhammapada literally means something along the lines of ""the path of truth and righteousness"" and is packed with wisdom. In this Note, we'll take a quick look at some central tenets of Buddhism (like the Four Noble Truths, nirvana, and the eightfold path) and soak up some Buddha mojo on how to rock our wisest lives.",PhilosophersNotes,Ancient Wisdom
The Way of the Bodhisattva,,Shantideva,"The Way of the Bodhisattva is one of the classics of Buddhism that teaches us the key elements of the Bodhisattva—one who has dedicated his or her life to serving the world and releasing all sentient beings from suffering. In this Note, we’ll check out the importance of cultivating bodhichitta (an “awakened mind”) and how we can do it. (Hint: It’s all about “diligence in virtuous ways”! :)",PhilosophersNotes,Ancient Wisdom
Rumi Daylight,A Day Book of Spiritual Guidance,Rumi,"Rumi's poetry is stunning. In this Note, we'll explore some inspiring wisdom from the Sufi mystic and have fun applying it to our 21st century lives—from the importance of having patience and seeing challenging times as God's way of strengthening us to working hard and going for it.",PhilosophersNotes,Ancient Wisdom
The Analects of Confucius,,Confucius,"Confucius. Talk about old school. I’ve waded through some of the arcane stuff from his classic ""Analects"" to bring us some highly practical wisdom for our 21st century lives. We'll take a look at a bunch of Big Ideas on the importance of being a passionate (and patient!) student of life while striving to do our best. Good stuff.",PhilosophersNotes,Ancient Wisdom
The Tao Te Ching,,Lao Tzu,"The Tao te Ching. It's the core text of Taoism and one of the top old school classics of all time. In this Note, we'll take a look at everything from making use of solitude to the fact that the journey of a thousand miles begins with the first step (heard that before, eh?!). We'll also learn to let go of our attachment to future results and gracefully roll with the ebbs and flows of life.",PhilosophersNotes,Ancient Wisdom
Trying Not to Try,"Ancient China, Modern Science, and the Power of Spontaneity",Edward Slingerland,"Edward Slingerland is one of the world’s leading experts on both ancient Chinese thought AND modern cognitive science. This book is a melding of those two realms. It’s a truly fascinating read. I read it in a day and felt like I was spending the day hanging out with a brilliant thinker—getting privileged access to twenty years of deep thinking. If you’re into ancient wisdom and modern science I think you’ll love the book as much as I did. Big Ideas we explore include defining wu-wei + de (one of the coolest words/concepts ever), what Confucius + Lao Tzu + Mencius + Chuang Tzu have to say about wu-wei, and the spontaneity of mirrors.",PhilosophersNotes,Ancient Wisdom
The Jefferson Bible,The Life and Morals of Jesus of Nazareth,Thomas Jefferson,"The Jefferson Bible. Thomas Jefferson created it for himself and never intended it for broad publication. Jefferson *literally* snipped out the passages and parables (from four different translations of the Bible) that he felt best captured the essence of Jesus’s moral philosophy and conformed with his sense of reason. Big Ideas we cover: Love your enemies (+ everyone else), seek ye first the kingdom of God, take the beam out your eye, use your talents, and build your life on the rock of wisdom.",PhilosophersNotes,Ancient Wisdom
The Daily Stoic,"366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday & Stephen Hanselman,"This book combines two of my favorite things: Stoicism + Ryan Holiday’s wisdom. Stoicism was one of the most influential philosophy of the Roman world and has continued to influence many of history’s greatest minds. As Ryan says: It’s time to bring it back as a powerful tool “in the pursuit of self-mastery, perseverance, and wisdom.” This is one of the my favorite books ever. Big Ideas we explore: the #1 thing to know about Stoicism, how to create tranquility, a good answer to “What’s the latest and greatest?!,” the 2 essential tasks in life and the art of acquiescence (aka amor fati).",PhilosophersNotes,Ancient Wisdom
The Enchiridion,,Epictetus,"Epictetus is one of three Stoic philosophers we profile (Marcus Aurelius and Seneca are the other two) and this former slave turned leading philosopher of his era is incredible. He echoes the wisdom of all the great teachers as he reminds us that, if we want to be happy, we've gotta realize the only thing we have control over is our response to a situation. We'll have fun tapping into a lot more of his vast mojo in the Note.",PhilosophersNotes,Ancient Wisdom
The Inner Citadel,The Meditations of Marcus Aurelius,Pierre Hadot,"Pierre Hadot was one of the most influential historians of ancient philosophy. In this book, he gives us an incredible look at Marcus Aurelius and his classic Meditations. You can feel Hadot’s incredible intellectual rigor and equally incredible passion for engaged philosophy. It’s inspiring. Big Ideas we explore include spiritual exercises, your inner citadel, your daimōn, amor fate, turning obstacles upside down and carpe areté.",PhilosophersNotes,Ancient Wisdom
